FECHA_CORTE;CODIGO_ALUMNO;FECHA_NACIMIENTO;EDAD;SEXO;TALLER;LOCAL;DIAS;HORARIO;PERIODO;PRECIO_JESUS_MARIA;PRECIO_PUBLICO_GENERAL;PRECIO_TOTAL;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO
20240430;000f3b0aecd5b8d9a59cf0b548c23891a0151651ebd13908f70599c389b6798f;42779;6;MASCULINO;TAEKWONDO;CASA DE LA JUVENTUD;MARTES - JUEVES;10:00 AM - 11:00 AM;202402;100;0;100;LIMA;LIMA;JESUS MARIA;150113
20240430;000f3b0aecd5b8d9a59cf0b548c23891a0151651ebd13908f70599c389b6798f;42779;6;MASCULINO;NATACIÓN A PARTIR DE 6 AÑOS;PISCINA MUNICIPAL;MIERCOLES - SABADO;9:00 AM - 10:00 AM;202402;150;0;150;LIMA;LIMA;JESUS MARIA;150113
20240430;0010436d46cfb42789043d08d8fdb42360ebefa76413b86562d11518d2b9c7a8;42779;6;FEMENINO;NATACIÓN A PARTIR DE 6 AÑOS;PISCINA MUNICIPAL;LUNES - JUEVES;12:00 PM - 1:00 PM;202402;150;0;150;LIMA;LIMA;JESUS MARIA;150113
20240430;0071c4f1f9bccff6762a75e36b01f0155f841d6ec15a51e2aaa6792e4ca3fa6c;42779;14;FEMENINO;TAEKWONDO;CASA DE LA JUVENTUD;MARTES - JUEVES;5:00 PM - 6:00 PM;202402;100;0;100;LIMA;LIMA;JESUS MARIA;150113
20240430;00b65eb2542cd808aaa386a7f0cd00fa873da6ccb798989e933ebe697dd59d4b;42975;8;MASCULINO;FUTBOL MIXTO;CAMPO DE MARTE;MARTES - JUEVES;8:00 AM - 9:00 AM;202402;150;0;150;LIMA;LIMA;JESUS MARIA;150113
20240430;00cfd5e77583e98681525f27ec92cf6549289253fb4a71d03231f0704215a257;39898;3;MASCULINO;NATACIÓN PATERA 3 A 5 AÑOS;PISCINA MUNICIPAL;LUNES - JUEVES;10:00 AM - 11:00 AM;202402;150;0;150;LIMA;LIMA;JESUS MARIA;150113
20240430;0186aab57490442754c68e8eff009cfa5bd9b7e9c4a6fa77c85f9a9b55fd7909;39898;14;FEMENINO;VOLEY;CASA DE LA JUVENTUD;LUNES - MIERCOLES;6:00 PM - 7:00 PM;202402;100;0;100;LIMA;LIMA;JESUS MARIA;150113
20240430;018bceb8d50ca683c17cb4972f3fb34f18951d89898fbd171bc32906d18aa7c9;39898;50;MASCULINO;NATACIÓN A PARTIR DE 6 AÑOS;PISCINA MUNICIPAL;MIERCOLES - SABADO;10:00 AM - 11:00 AM;202402;150;0;150;LIMA;LIMA;JESUS MARIA;150113
20240430;018bceb8d50ca683c17cb4972f3fb34f18951d89898fbd171bc32906d18aa7c9;25568;50;MASCULINO;NATACIÓN A PARTIR DE 6 AÑOS;PISCINA MUNICIPAL;MIERCOLES - SABADO;9:00 AM - 10:00 AM;202402;150;0;150;LIMA;LIMA;JESUS MARIA;150113
20240430;01c7938f04a17125232d9c682e8a7f456df3c623159d549244191c0d4c1ff15b;44375;10;MASCULINO;ÓRGANO;CASA DE LA JUVENTUD;LUNES - MIERCOLES;2:00 PM - 3:00 PM;202402;100;0;100;LIMA;LIMA;JESUS MARIA;150113
20240430;01cb6d77909276867526e8346661fb30ac0961f2297a9b60435389410ac67b63;44375;8;FEMENINO;BÁSQUET;CASA DE LA JUVENTUD;MARTES - JUEVES;9:00 AM - 10:00 AM;202402;100;0;100;LIMA;LIMA;JESUS MARIA;150113
20240430;01cb6d77909276867526e8346661fb30ac0961f2297a9b60435389410ac67b63;43364;8;FEMENINO;GUITARRA;CASA DE LA JUVENTUD;MARTES - JUEVES;10:00 AM - 11:00 AM;202402;100;0;100;LIMA;LIMA;JESUS MARIA;150113
20240430;01cb6d77909276867526e8346661fb30ac0961f2297a9b60435389410ac67b63;43364;8;FEMENINO;CLOWN;CENTRO CULTURAL;LUNES - MIERCOLES;10:00 AM - 11:00 AM;202402;100;0;100;LIMA;LIMA;JESUS MARIA;150113
20240430;01db8fc3fd8ace5486b477f48908e42bd1e95799dad4a7fe7f887dae9d69dc26;40134;5;FEMENINO;NATACIÓN PATERA 3 A 5 AÑOS;PISCINA MUNICIPAL;LUNES - JUEVES;9:00 AM - 10:00 AM;202402;150;0;150;LIMA;LIMA;JESUS MARIA;150113
